SKU;NAME;COLLECTION;DESCRIPTION;IAW PRICE;PHOTOURL;;;;;;;
BL-BB-3856BK-R1;WALKER;Travel;Travel backpack with extra space; 27,48 € ;Picture;;;;;;;
BL-BB-3861BU;GAEL;Travel;Travel backpack with extra space; 26,10 € ;Picture;;;;;;;
BL-BB-3401BK-3.;NEOTON ;Travelsafe;"Laptop Backpack for 15.6"" with Security Features + USB Connector"; 25,55 € ;Picture;;;;;;;
BL-BB-3335R.;CPLUS;Business;Backpack featured with USB & Type-C connector; 23,34 € ;;;;;;;;
BL-BB-3335R;CPLUS;Business;Backpack featured with USB & Type-C connector; 23,34 € ;;;;;;;;
BL-BB-3335P.;CPLUS;Business;Backpack featured with USB & Type-C connector; 23,34 € ;;;;;;;;
BL-BB-3335P;CPLUS;Business;Backpack featured with USB & Type-C connector; 23,34 € ;;;;;;;;
BL-BBC-3335R;CPLUS;Business;Laptop bag featured with USB & Type-C connector; 18,23 € ;;;;;;;;
BL-BBC-3335P;CPLUS;Business;Laptop bag featured with USB & Type-C connector; 18,23 € ;;;;;;;;
BL-BT-3335P;CPLUS;Business;Trolley Backpack featured with USB & Type-C connector; 39,36 € ;Picture;;;;;;;
BL-BT-3335P.;CPLUS;Business;Trolley Backpack featured with USB & Type-C connector; 39,36 € ;Picture;;;;;;;
BL-BB-3762BK;RYDER;Business;"Laptop Backpack for 15.6"" "; 26,10 € ;Picture;;;;;;;
BL-BB-3762BK.;RYDER;Business;"Laptop Backpack for 15.6"" "; 26,10 € ;Picture;;;;;;;
BL-BB-3769BK;NACAR;Business;"Laptop Backpack for 15.6"" "; 22,79 € ;Picture;;;;;;;
BL-BB-3771BK;FRANKLYN;Business;Backpack for tablet and laptop up to 14.1''.; 21,82 € ;Picture;;;;;;;
BL-BB-3538BK;CALPE 2.0;Travelsafe;Backpack for tablet and laptop up to 15.6''.; 23,34 € ;Picture;;;;;;;
BL-BB-3524BK;DALIA;Travelsafe;Backpack for tablet and laptop up to 15.6''.; 24,72 € ;Picture;;;;;;;
BL-BB-3557BK.;ODEON X;Travelsafe;Laptop backpack with padded compartments for tablets and laptops up to 15.6''.; 28,31 € ;Picture;;;;;;;
BL-BB-3537BU;NEOTON 2.0;Travelsafe;Backpack for tablet and laptop up to 15.6''.; 23,34 € ;Picture;;;;;;;
BL-BB-3516GE.;ALYA;Business;Backpack for tablet and laptop up to 14.1''.; 19,20 € ;Picture;;;;;;;
BL-BBC-3516GE;ALYA;Business;Laptop and tablet briefcase up to 14.1''; 17,05 € ;Picture;;;;;;;
BL-BB-3515;ORION;Business;Backpack for tablet and laptop up to 14.1''.; 19,20 € ;Picture;;;;;;;
BL-BB-3520BU;JADE;Business;Backpack for tablet and laptop up to 14.1''.; 23,34 € ;Picture;;;;;;;
BL-BB-3532BK.;ASTER;Business;Backpack for tablet and laptop up to 15.6''.; 27,48 € ;Picture;;;;;;;
BL-BBC-3532;ASTER;Business;Briefcase with padded compartments for tablet and porable up to 15.6''.; 17,05 € ;Picture;;;;;;;
BL-BB-3552BK;COL-SKATE;Urban;Urban backpack for laptop up to 14.1''; 10,29 € ;Picture;;;;;;;
BL-BBS-3331GE;ASSAILANT;Gaming;"Gaming Backpack with USB connector for 17"" Laptop "; 35,63 € ;;;;;;;;
BL-BBS-3331R;ASSAILANT;Gaming;"Gaming Backpack with USB connector for 17"" Laptop "; 35,63 € ;;;;;;;;
BL-BB-3527;AUDREY;Urban;"Laptop Backpack for 14.1"" "; 9,45 € ;Picture;;;;;;;
BL-BB-3528;DEVON;Urban;"Laptop Backpack for 14.1"" "; 6,94 € ;Picture;;;;;;;
BL-BB-3542;COL-CAKE;Urban;"Laptop Backpack for 14.1"" "; 7,19 € ;;;;;;;;
BL-BB-3541.;COL-CAKE;Urban;"Laptop Backpack for 14.1"" "; 7,19 € ;;;;;;;;
BL-BB-3540;COL-CAKE;Urban;"Laptop Backpack for 14.1"" "; 7,19 € ;;;;;;;;
BL-BT-3401BK-1;NEOTON;Business;Travel trolley bag + USB Connector; 31,10 € ;Picture;;;;;;;
BL-BB-3575P;BUCKLES;Urban;"School Backpack for 14.1"" Labtop + 10"" Tablet"; 10,09 € ;Picture;;;;;;;
BL-BB-3575PI;BUCKLES;Urban;"School Backpack for 14.1"" Labtop + 10"" Tablet"; 10,09 € ;Picture;;;;;;;
BL-BB-3332R;Snake Eye;GAMING;"Gamer Backpack with USB connector, for 17"" Laptop and 10"" Tablet"; 24,17 € ;Picture;;;;;;;
BL-BB-3158;FOUNDER;BUSINESS;Backpack for 15,6? laptop; 17,25 € ;Picture;;;;;;;
BL-BB-3312 17 ;QUARK;BUSINESS / TRAVEL;Backpack for 15,6? and 17? laptop; 17,11 € ;Picture;;;;;;;
BL-BB-3401;NEOTON;TravelSafe;"Travel Safe Laptop Backpack for 15.6"" + USB Connector type C"; 20,02 € ;Picture;;;;;;;
BL-BB-3401G-1;NEOTON;BUSINESS;Trolley-Backpack for 15,6? and 17? Laptop + USB Connector; 19,93 € ;Picture;;;;;;;
BL-BT-3401R-1;TROLLEY NEOTON;BUSINESS;Trolley-Backpack for 15,6? and 17? laptop + USB Connector; 33,64 € ;Picture;;;;;;;
BL-BB-3401R-1;NEOTON;BUSINESS;Trolley-Backpack for 15,6? and 17? laptop + USB Connector; 20,18 € ;Picture;;;;;;;
